repo	rank	instance_id	score	n_f2p	n_test_files	names_test
flask	1	pallets__flask-5014	5.0	1	1	0
matplotlib	5	matplotlib__matplotlib-20676	6.0	2	1	0
matplotlib	7	matplotlib__matplotlib-20859	6.0	1	1	0
pylint	1	pylint-dev__pylint-4551	6.0	10	1	0
pylint	2	pylint-dev__pylint-4661	6.0	1	1	0
pylint	3	pylint-dev__pylint-4970	6.0	1	1	0
pylint	5	pylint-dev__pylint-6903	6.0	1	1	0
pylint	6	pylint-dev__pylint-7277	6.0	1	1	0
pylint	7	pylint-dev__pylint-8898	6.0	1	1	0
pylint	10	pylint-dev__pylint-6528	4.0	4	2	0
pytest	1	pytest-dev__pytest-10081	7.0	1	1	1
pytest	2	pytest-dev__pytest-10356	7.0	1	1	1
pytest	4	pytest-dev__pytest-5787	7.0	2	1	1
pytest	5	pytest-dev__pytest-6197	7.0	2	1	1
pytest	6	pytest-dev__pytest-6202	7.0	1	1	1
pytest	7	pytest-dev__pytest-7205	7.0	10	1	1
pytest	10	pytest-dev__pytest-7521	7.0	2	1	1
pytest	13	pytest-dev__pytest-10051	6.0	1	1	0
pytest	14	pytest-dev__pytest-5631	6.0	1	1	0
pytest	16	pytest-dev__pytest-5840	6.0	2	1	0
requests	1	psf__requests-1724	7.0	6	1	1
requests	2	psf__requests-1766	6.0	6	1	0
requests	3	psf__requests-1921	6.0	6	1	0
requests	4	psf__requests-2317	6.0	8	1	0
requests	6	psf__requests-6028	6.0	2	1	0
requests	7	psf__requests-1142	5.0	1	1	0
requests	8	psf__requests-2931	5.0	1	1	0
scikit-learn	25	scikit-learn__scikit-learn-25747	6.0	1	1	0
scikit-learn	27	scikit-learn__scikit-learn-25973	6.0	1	1	0
scikit-learn	28	scikit-learn__scikit-learn-26323	6.0	1	1	0
scikit-learn	32	scikit-learn__scikit-learn-25102	4.0	2	2	0
seaborn	1	mwaskom__seaborn-3069	6.0	2	1	0
sphinx	1	sphinx-doc__sphinx-10435	7.0	1	1	1
sphinx	2	sphinx-doc__sphinx-9367	7.0	1	1	1
sphinx	3	sphinx-doc__sphinx-10323	6.0	1	1	0
sphinx	5	sphinx-doc__sphinx-10466	6.0	1	1	0
sphinx	6	sphinx-doc__sphinx-10614	6.0	1	1	0
sphinx	8	sphinx-doc__sphinx-11445	6.0	2	1	0
sphinx	9	sphinx-doc__sphinx-11510	6.0	2	1	0
sphinx	10	sphinx-doc__sphinx-7440	6.0	1	1	0
sphinx	11	sphinx-doc__sphinx-7454	6.0	1	1	0
sphinx	12	sphinx-doc__sphinx-7590	6.0	1	1	0
sphinx	14	sphinx-doc__sphinx-7889	6.0	1	1	0
sphinx	15	sphinx-doc__sphinx-7910	6.0	1	1	0
sphinx	17	sphinx-doc__sphinx-8035	6.0	1	1	0
sphinx	19	sphinx-doc__sphinx-8120	6.0	1	1	0
sphinx	20	sphinx-doc__sphinx-8265	6.0	1	1	0
sphinx	21	sphinx-doc__sphinx-8269	6.0	1	1	0
sphinx	23	sphinx-doc__sphinx-8475	6.0	1	1	0
sphinx	24	sphinx-doc__sphinx-8551	6.0	1	1	0
sphinx	25	sphinx-doc__sphinx-8593	6.0	2	1	0
