repo	rank	instance_id	score	n_f2p	n_test_files	names_test
flask	1	pallets__flask-5014	5.0	1	1	0
matplotlib	1	matplotlib__matplotlib-20488	7.0	1	1	1
matplotlib	2	matplotlib__matplotlib-24177	7.0	1	1	1
matplotlib	3	matplotlib__matplotlib-13989	6.0	1	1	0
matplotlib	4	matplotlib__matplotlib-14623	6.0	1	1	0
matplotlib	5	matplotlib__matplotlib-20676	6.0	2	1	0
matplotlib	6	matplotlib__matplotlib-20826	6.0	1	1	0
matplotlib	7	matplotlib__matplotlib-20859	6.0	1	1	0
matplotlib	8	matplotlib__matplotlib-21568	6.0	4	1	0
matplotlib	9	matplotlib__matplotlib-22865	6.0	3	1	0
matplotlib	10	matplotlib__matplotlib-22871	6.0	1	1	0
matplotlib	11	matplotlib__matplotlib-23299	6.0	1	1	0
matplotlib	12	matplotlib__matplotlib-23314	6.0	1	1	0
matplotlib	13	matplotlib__matplotlib-23412	6.0	1	1	0
matplotlib	14	matplotlib__matplotlib-23476	6.0	1	1	0
matplotlib	15	matplotlib__matplotlib-24026	6.0	2	1	0
matplotlib	16	matplotlib__matplotlib-24149	6.0	1	1	0
matplotlib	17	matplotlib__matplotlib-24570	6.0	2	1	0
matplotlib	18	matplotlib__matplotlib-24637	6.0	1	1	0
matplotlib	19	matplotlib__matplotlib-24870	6.0	1	1	0
matplotlib	20	matplotlib__matplotlib-24970	6.0	1	1	0
matplotlib	21	matplotlib__matplotlib-25122	6.0	12	1	0
matplotlib	22	matplotlib__matplotlib-25287	6.0	2	1	0
matplotlib	23	matplotlib__matplotlib-25311	6.0	1	1	0
matplotlib	24	matplotlib__matplotlib-25332	6.0	1	1	0
matplotlib	25	matplotlib__matplotlib-25479	6.0	2	1	0
matplotlib	26	matplotlib__matplotlib-25775	6.0	7	1	0
matplotlib	27	matplotlib__matplotlib-25960	6.0	1	1	0
matplotlib	28	matplotlib__matplotlib-26208	6.0	2	1	0
matplotlib	29	matplotlib__matplotlib-26291	6.0	1	1	0
matplotlib	30	matplotlib__matplotlib-26342	6.0	1	1	0
matplotlib	31	matplotlib__matplotlib-26466	6.0	1	1	0
matplotlib	32	matplotlib__matplotlib-22719	5.0	1	1	0
matplotlib	33	matplotlib__matplotlib-24627	5.0	1	1	0
matplotlib	34	matplotlib__matplotlib-26113	5.0	1	1	0
pylint	1	pylint-dev__pylint-4551	6.0	10	1	0
pylint	2	pylint-dev__pylint-4661	6.0	1	1	0
pylint	3	pylint-dev__pylint-4970	6.0	1	1	0
pylint	4	pylint-dev__pylint-6386	6.0	1	1	0
pylint	5	pylint-dev__pylint-6903	6.0	1	1	0
pylint	6	pylint-dev__pylint-7277	6.0	1	1	0
pylint	7	pylint-dev__pylint-8898	6.0	1	1	0
pylint	8	pylint-dev__pylint-7080	5.0	1	1	0
pylint	9	pylint-dev__pylint-4604	4.5	21	1	0
pylint	10	pylint-dev__pylint-6528	4.0	4	2	0
pytest	1	pytest-dev__pytest-10081	7.0	1	1	1
pytest	2	pytest-dev__pytest-10356	7.0	1	1	1
pytest	3	pytest-dev__pytest-5262	7.0	1	1	1
pytest	4	pytest-dev__pytest-5787	7.0	2	1	1
pytest	5	pytest-dev__pytest-6197	7.0	2	1	1
pytest	6	pytest-dev__pytest-6202	7.0	1	1	1
pytest	7	pytest-dev__pytest-7205	7.0	10	1	1
pytest	8	pytest-dev__pytest-7236	7.0	1	1	1
pytest	9	pytest-dev__pytest-7432	7.0	1	1	1
pytest	10	pytest-dev__pytest-7521	7.0	2	1	1
pytest	11	pytest-dev__pytest-7571	7.0	1	1	1
pytest	12	pytest-dev__pytest-8399	7.0	1	1	1
pytest	13	pytest-dev__pytest-10051	6.0	1	1	0
pytest	14	pytest-dev__pytest-5631	6.0	1	1	0
pytest	15	pytest-dev__pytest-5809	6.0	1	1	0
pytest	16	pytest-dev__pytest-5840	6.0	2	1	0
pytest	17	pytest-dev__pytest-7324	6.0	3	1	0
pytest	18	pytest-dev__pytest-7490	6.0	2	1	1
pytest	19	pytest-dev__pytest-7982	6.0	1	1	0
requests	1	psf__requests-1724	7.0	6	1	1
requests	2	psf__requests-1766	6.0	6	1	0
requests	3	psf__requests-1921	6.0	6	1	0
requests	4	psf__requests-2317	6.0	8	1	0
requests	5	psf__requests-5414	6.0	1	1	0
requests	6	psf__requests-6028	6.0	2	1	0
requests	7	psf__requests-1142	5.0	1	1	0
requests	8	psf__requests-2931	5.0	1	1	0
scikit-learn	1	scikit-learn__scikit-learn-13124	7.0	1	1	1
scikit-learn	2	scikit-learn__scikit-learn-13135	7.0	1	1	1
scikit-learn	3	scikit-learn__scikit-learn-26194	7.0	2	1	1
scikit-learn	4	scikit-learn__scikit-learn-10297	6.0	1	1	0
scikit-learn	5	scikit-learn__scikit-learn-10844	6.0	1	1	0
scikit-learn	6	scikit-learn__scikit-learn-10908	6.0	1	1	0
scikit-learn	7	scikit-learn__scikit-learn-11310	6.0	1	1	0
scikit-learn	8	scikit-learn__scikit-learn-11578	6.0	1	1	0
scikit-learn	9	scikit-learn__scikit-learn-12585	6.0	1	1	0
scikit-learn	10	scikit-learn__scikit-learn-12682	6.0	1	1	0
scikit-learn	11	scikit-learn__scikit-learn-12973	6.0	1	1	0
scikit-learn	12	scikit-learn__scikit-learn-13328	6.0	1	1	0
scikit-learn	13	scikit-learn__scikit-learn-13439	6.0	1	1	0
scikit-learn	14	scikit-learn__scikit-learn-13496	6.0	1	1	0
scikit-learn	15	scikit-learn__scikit-learn-13779	6.0	2	1	0
scikit-learn	16	scikit-learn__scikit-learn-14053	6.0	1	1	0
scikit-learn	17	scikit-learn__scikit-learn-14087	6.0	3	1	0
scikit-learn	18	scikit-learn__scikit-learn-14496	6.0	1	1	0
scikit-learn	19	scikit-learn__scikit-learn-14629	6.0	1	1	0
scikit-learn	20	scikit-learn__scikit-learn-14710	6.0	1	1	0
scikit-learn	21	scikit-learn__scikit-learn-14894	6.0	1	1	0
scikit-learn	22	scikit-learn__scikit-learn-14983	6.0	2	1	0
scikit-learn	23	scikit-learn__scikit-learn-15100	6.0	1	1	0
scikit-learn	24	scikit-learn__scikit-learn-25232	6.0	1	1	0
scikit-learn	25	scikit-learn__scikit-learn-25747	6.0	1	1	0
scikit-learn	26	scikit-learn__scikit-learn-25931	6.0	1	1	0
scikit-learn	27	scikit-learn__scikit-learn-25973	6.0	1	1	0
